area,extent,solidity,elongation,bbox_aspect_ratio,eccentricity,type
452.0,0.6149659863945578,0.9515789473684211,2.4968618840760666,1.6666666666666667,0.916295565625572,control
435.0,0.6904761904761905,0.9602649006622517,2.318562894907323,1.9444444444444444,0.9022077851175015,control
465.0,0.6458333333333334,0.9451219512195121,2.521724986619976,1.8,0.9180114193617276,control
485.0,0.6123737373737373,0.9454191033138402,2.4841530687766253,1.6363636363636365,0.9153972591620585,control
846.0,0.4316326530612245,0.8554095045500506,3.8823909430881374,1.6,0.9662587789585566,control
458.0,0.5963541666666666,0.9621848739495799,2.331591581541891,1.3333333333333333,0.9033559717076939,control
533.0,0.5569487983281086,0.9142367066895368,2.0238686142257265,1.1379310344827587,0.8694032479629807,control
728.0,0.5416666666666666,0.9321382842509603,3.2203565692086484,1.7142857142857142,0.9505653372378174,control
504.0,0.6176470588235294,0.9636711281070746,2.256931838912335,1.4166666666666667,0.8964823742099509,control
651.0,0.5802139037433155,0.8979310344827586,1.7996764453733183,1.0303030303030303,0.8314126751438354,control
613.0,0.6081349206349206,0.9273827534039334,2.779221816877716,1.75,0.9330244590452881,control
525.0,0.6118881118881119,0.963302752293578,2.2484261260900866,1.2692307692307692,0.8956519972003006,control
742.0,0.5743034055727554,0.9037758830694276,1.6568911832855564,1.1176470588235294,0.7973327691246451,control
483.0,0.5933660933660934,0.9288461538461539,2.595496332710096,1.6818181818181819,0.9227985652713551,control
524.0,0.5881032547699214,0.9544626593806922,2.243773903962358,1.2222222222222223,0.8951934901894336,control
857.0,0.5902203856749312,0.8880829015544042,1.8309095219062108,1.3333333333333333,0.8376700331114657,control
405.0,0.6532258064516129,0.9597156398104265,2.1179253268460254,1.55,0.8815127713228477,control
482.0,0.6219354838709678,0.9620758483033932,2.1279178710489646,1.24,0.8826967907988935,control
946.0,0.5474537037037037,0.8783658310120706,2.1029430246020513,1.3333333333333333,0.87970271718673,control
427.0,0.6401799100449775,0.963882618510158,2.0343353182151533,1.2608695652173914,0.8708431182336721,control
979.0,0.5708454810495627,0.9031365313653137,2.226675317766086,1.4,0.8934814736161637,control
928.0,0.5987096774193549,0.9345417925478349,2.375349063779268,1.6129032258064515,0.9070649274984041,control
436.0,0.7582608695652174,0.9519650655021834,1.3693198373975388,1.0869565217391304,0.6831377158947293,control
860.0,0.6142857142857143,0.9429824561403509,2.5334122684161415,1.7857142857142858,0.9187995075730109,control
424.0,0.7681159420289855,0.9506726457399103,1.214180089750263,1.0434782608695652,0.5671695567532796,control
774.0,0.6201923076923077,0.9381818181818182,2.5987926669601813,1.8461538461538463,0.9230024517225972,control
727.0,0.6585144927536232,0.9392764857881137,2.747216460023022,2.0869565217391304,0.9313970688004874,control
426.0,0.7447552447552448,0.9681818181818181,1.5479161939490855,1.1818181818181819,0.763312182853015,control
717.0,0.5857843137254902,0.9251612903225807,3.1314708676026486,2.125,0.947640628731796,control
447.0,0.7525252525252525,0.9612903225806452,1.4795208007271294,1.2272727272727273,0.7369983711972139,control
686.0,0.5276923076923077,0.9074074074074074,3.545137460944504,2.08,0.9593919130869584,control
453.0,0.7810344827586206,0.9617834394904459,1.6254163768487135,1.45,0.7883500299485844,control
649.0,0.4303713527851459,0.9192634560906515,4.434740694706544,2.230769230769231,0.9742449437135121,control
408.0,0.7816091954022989,0.96,1.8006781028427399,1.6111111111111112,0.8316191669903111,control
547.0,0.38305322128851543,0.9286926994906621,4.9576442124662305,1.8214285714285714,0.9794455563402688,control
435.0,0.43154761904761907,0.9294871794871795,4.069626618358646,1.75,0.9693401422155352,control
407.0,0.8043478260869565,0.969047619047619,1.1897339900052335,1.0454545454545454,0.5417742760274764,control
413.0,0.7821969696969697,0.9627039627039627,1.2274398985779003,1.0909090909090908,0.5798772727202323,control
650.0,0.4368279569892473,0.8176100628930818,3.6198997399142216,1.5483870967741935,0.9610855975839899,control
457.0,0.5326340326340326,0.8891050583657587,3.159043719819176,1.7727272727272727,0.9485753283077312,control
806.0,0.4837935174069628,0.8430962343096234,3.160588461501643,1.4411764705882353,0.9486269446062973,control
458.0,0.5240274599542334,0.9105367793240556,3.1912209321326563,1.6521739130434783,0.9496345113140889,control
987.0,0.4351851851851852,0.8336148648648649,3.332458821745621,1.2857142857142858,0.9539144394461366,control
433.0,0.5467171717171717,0.9252136752136753,3.0664272048883046,1.6363636363636365,0.9453309943008311,control
671.0,0.3177083333333333,0.7912735849056604,4.978236906498933,1.0909090909090908,0.9796170189432276,control
1121.0,0.3877551020408163,0.8117306299782766,3.5900263079319763,1.2040816326530612,0.9604218766668065,control
404.0,0.5658263305322129,0.9330254041570438,2.877773652755309,1.619047619047619,0.9376833752574381,control
856.0,0.37217391304347824,0.8611670020120724,4.229885280145316,1.0869565217391304,0.9716526533478433,control
1142.0,0.3542183622828784,0.7768707482993197,3.8054607946912626,1.1923076923076923,0.9648557051624918,control
960.0,0.4,0.900562851782364,3.8857392267087474,1.0416666666666667,0.9663179155326398,control
655.0,0.5057915057915058,0.8875338753387534,2.2317043529755987,1.0571428571428572,0.8939894407702415,control
406.0,0.6506410256410257,0.9552941176470588,1.6729605017608136,1.0833333333333333,0.8016879771189992,control
1041.0,0.4164,0.9220549158547388,3.6771541332257276,1.0,0.962311541636628,control
1201.0,0.29875621890547266,0.6942196531791908,4.220661761783148,1.1166666666666667,0.9715268042077676,control
1092.0,0.42,0.9454545454545454,3.5928998785487383,1.04,0.9604864615894181,control
1404.0,0.31451612903225806,0.7289719626168224,4.300811009852426,1.1612903225806452,0.9725929811247611,control
1120.0,0.4307692307692308,0.9427609427609428,3.5002888670385435,1.04,0.9583218770945646,control
1413.0,0.3102766798418972,0.7104072398190046,4.097821954204372,1.0454545454545454,0.9697671605658563,control
1119.0,0.4302191464821223,0.9605150214592275,3.5093208208151947,1.0,0.9585407694670266,control
434.0,0.33487654320987653,0.906054279749478,4.370527631958158,1.0,0.9734721992714923,control
1334.0,0.3018099547511312,0.6958789775691184,4.142087770194295,1.0461538461538462,0.9704196937554811,control
1111.0,0.42730769230769233,0.9552880481513327,3.568118094308379,1.04,0.959924192047081,control
534.0,0.41235521235521233,0.9206896551724137,3.5592000945559974,1.0571428571428572,0.9597188916133254,control
1156.0,0.269589552238806,0.6568181818181819,4.726408779885007,1.046875,0.977361303968813,control
1080.0,0.39215686274509803,0.941586748038361,3.789020937380746,1.0588235294117647,0.9645444580290212,control
