training_dataset,test_dataset,sparse_mask_percentage,trial,absolute_iou
hela2,macrophage,95,3,0.004451111503723134
hela2,macrophage,95,4,0.0741353499160861
hela2,macrophage,95,5,0.049675354763547175
hela2,macrophage,95,6,0.01785256226667888
hela2,macrophage,95,7,0.001512555732635085
hela2,macrophage,95,8,0.005182884017966184
hela2,macrophage,95,9,0.029733521079644616
jurkat,hela2,50,0,0.23411964329299442
jurkat,hela2,50,1,0.0692610588700812
jurkat,hela2,50,2,0.10972925350350415
jurkat,hela2,50,3,0.09972153170317523
jurkat,hela2,50,4,0.17941125676651132
jurkat,hela2,50,5,0.1779571198117602
jurkat,hela2,50,6,0.11818071649387904
jurkat,hela2,50,7,0.19300294487605812
jurkat,hela2,50,8,0.2270574568939013
jurkat,hela2,50,9,0.4361815365936909
jurkat,hela2,70,0,0.15101823019258917
jurkat,hela2,70,1,0.30148720590288314
jurkat,hela2,70,2,0.20993906592225423
jurkat,hela2,70,3,0.15862920209471246
jurkat,hela2,70,4,0.21370076261569484
jurkat,hela2,70,5,0.15710810056414198
jurkat,hela2,70,6,0.34784863155597107
jurkat,hela2,70,7,0.20969649132299886
jurkat,hela2,70,8,0.1220521590559878
jurkat,hela2,70,9,0.20688436836568522
jurkat,hela2,95,0,0.14882319456515755
jurkat,hela2,95,1,0.1569362027770124
jurkat,hela2,95,2,0.18259024665698642
jurkat,hela2,95,3,0.12402922126175167
jurkat,hela2,95,4,0.07434244781139332
jurkat,hela2,95,5,0.2174194410794098
jurkat,hela2,95,6,0.11190261124126043
jurkat,hela2,95,7,0.14151880782047438
jurkat,hela2,95,8,0.25586437557930714
jurkat,hela2,95,9,0.32298838129923935
jurkat,jurkat,50,0,0.36605045579930584
jurkat,jurkat,50,1,0.12448634357472897
jurkat,jurkat,50,2,0.14115643423613608
jurkat,jurkat,50,3,0.1367101905280241
jurkat,jurkat,50,4,0.23219959099412274
jurkat,jurkat,50,5,0.28395809312610565
jurkat,jurkat,50,6,0.1337371292909709
jurkat,jurkat,50,7,0.2724860603028319
jurkat,jurkat,50,8,0.2435364842983865
jurkat,jurkat,50,9,0.4250631970137323
jurkat,jurkat,70,0,0.2157243776566469
jurkat,jurkat,70,1,0.30294409829013896
jurkat,jurkat,70,2,0.39880162858041157
jurkat,jurkat,70,3,0.1954612658187897
jurkat,jurkat,70,4,0.1517701264796861
jurkat,jurkat,70,5,0.24827217508427316
jurkat,jurkat,70,6,0.37911195462977365
jurkat,jurkat,70,7,0.17726838166168857
jurkat,jurkat,70,8,0.13092479319575948
jurkat,jurkat,70,9,0.20284823709015226
jurkat,jurkat,95,0,0.20825512414402886
jurkat,jurkat,95,1,0.23155767447233477
jurkat,jurkat,95,2,0.4237515460994765
jurkat,jurkat,95,3,0.35942468965943514
jurkat,jurkat,95,4,0.15125328476870045
jurkat,jurkat,95,5,0.27917816165576853
jurkat,jurkat,95,6,0.18776530412630107
jurkat,jurkat,95,7,0.2923811995928107
jurkat,jurkat,95,8,0.47911291677951134
