dataset,model,sparse_mask_percentage,trial,iou,false_positive_rate
hela2,StarDist,50,0,0.5223388538150852,0.004869460460267068
hela2,StarDist,50,1,0.16140625875369863,0.0005468548802506486
hela2,StarDist,50,2,0.011639042357274367,1.9836996781948293e-05
hela2,StarDist,50,3,0.44133785992843705,0.0016970907405289316
hela2,StarDist,50,4,0.1563366613690743,0.0002735994003928048
hela2,StarDist,50,5,0.3715553838278087,0.002136931137283813
hela2,StarDist,50,6,0.04528717043131331,9.623406080112543e-05
hela2,StarDist,50,7,0.20628780949058936,0.0003865072382407434
hela2,StarDist,50,8,0.2626941267046341,0.0006142548132379447
hela2,StarDist,50,9,0.24011988762528463,0.0004487653469337459
hela2,StarDist,70,0,0.08615295562381546,0.0002575625132255491
hela2,StarDist,70,1,0.0026914619654016133,0.02388691159113341
hela2,StarDist,70,2,0.18924944896355358,0.00024338959043913142
hela2,StarDist,70,3,0.14574525716153947,0.0003045777241344775
hela2,StarDist,70,4,0.24244387421407318,0.00047021155214470924
hela2,StarDist,70,5,0.017588190139770706,4.3291528079782705e-05
hela2,StarDist,70,6,0.0725543772917583,0.009291386894034203
hela2,StarDist,70,7,0.1271008667509963,0.0005919679133859655
hela2,StarDist,70,8,0.005577144973184678,1.3930904632185862e-05
hela2,StarDist,70,9,0.10558442409124176,0.00020225924201731354
hela2,StarDist,95,0,0.03676273845899733,0.00021016092245635586
hela2,StarDist,95,1,0.1608972585412494,0.0004047053050659639
hela2,StarDist,95,2,0.08300977836095992,0.00019248935126490278
hela2,StarDist,95,3,0.35960558965652245,0.0013515312756111997
hela2,StarDist,95,4,0.09774221614530111,0.000330961948878276
hela2,StarDist,95,5,0.2200362165915552,0.0007283090528690866
hela2,StarDist,95,6,0.09945307760231113,0.00020831394180563937
hela2,StarDist,95,7,0.3752768279470629,0.003389608611722641
hela2,StarDist,95,8,0.17363171556025023,0.00047608792276675904
hela2,StarDist,95,9,0.12019806433322812,0.0002695572726238804
jurkat,SparseSeg,50,0,0.3679480561711313,0.022381196481069357
jurkat,SparseSeg,50,1,0.09361680488872431,0.13471528599687496
jurkat,SparseSeg,50,2,0.14196952804417565,0.08241748760376742
jurkat,SparseSeg,50,3,0.12272986952990476,0.10110562256637216
jurkat,SparseSeg,50,4,0.23350152316597841,0.04524947330893511
jurkat,SparseSeg,50,5,0.28539903667453653,0.032399862843447536
jurkat,SparseSeg,50,6,0.11484875993562942,0.1078932920596662
jurkat,SparseSeg,50,7,0.2740484236344438,0.03529741830107449
jurkat,SparseSeg,50,8,0.24528359907298145,0.04104799208408348
jurkat,SparseSeg,50,9,0.4267636711250236,0.017521820836356408
jurkat,SparseSeg,70,0,0.2170249799697087,0.046609056320560206
jurkat,SparseSeg,70,1,0.3042988054572014,0.02852643606146657
jurkat,SparseSeg,70,2,0.40043715979810524,0.015946714544137815
jurkat,SparseSeg,70,3,0.19627691285268906,0.05505696078552877
jurkat,SparseSeg,70,4,0.1524266718079611,0.06623652596375733
jurkat,SparseSeg,70,5,0.24977289065269614,0.0372565784067164
jurkat,SparseSeg,70,6,0.38078807080914245,0.017926857712312387
jurkat,SparseSeg,70,7,0.17851845238407302,0.06301511267576625
jurkat,SparseSeg,70,8,0.1313879070967664,0.06675197241496353
jurkat,SparseSeg,70,9,0.20399780895255062,0.0511092460669633
jurkat,SparseSeg,95,0,0.20922491933959034,0.0422957241369057
jurkat,SparseSeg,95,1,0.2329793355909562,0.03669122202558449
jurkat,SparseSeg,95,2,0.42443876745468545,0.011683361120522505
jurkat,SparseSeg,95,3,0.36030591949524987,0.014877256534031538
jurkat,SparseSeg,95,4,0.15205376737366624,0.06122754199417334
jurkat,SparseSeg,95,5,0.28001817433618786,0.02719759379316597
jurkat,SparseSeg,95,6,0.18851377257066243,0.049827993748881486
jurkat,SparseSeg,95,7,0.293562513210141,0.023544471960249523
jurkat,SparseSeg,95,8,0.4804481448698731,0.008939183448686598
jurkat,SparseSeg,95,9,0.2547647800753848,0.03232485219067161
jurkat,StarDist,50,0,0.39034145109889107,0.019541203242453845
jurkat,StarDist,50,1,0.007357929164668208,3.101606377837183e-05
