ablation,setting_index,setting,trial,iou,false_positive_rate
low_weight,3,300,0,0.15285496069128243,0.006982482751472297
low_weight,3,300,1,0.2518500614737357,0.005307042020915786
low_weight,3,300,2,0.10976840561840531,0.007951778196968318
low_weight,3,300,3,0.20944929829017433,0.0061144103375006
low_weight,3,300,4,0.2251564235130364,0.0058388026110209245
low_weight,4,400,0,0.055640925734864136,0.008977294035099137
low_weight,4,400,1,0.16118872024461692,0.006803053888670851
low_weight,4,400,2,0.08654488025958669,0.00846663148373747
low_weight,4,400,3,0.14915013777310465,0.0070508677408066414
low_weight,4,400,4,0.17134513453318465,0.006728911414825307
patch_size,0,20,0,0.007835774377522444,0.0002053205593717195
patch_size,0,20,1,0.008215959963630691,0.00015076032635630095
patch_size,0,20,2,0.004122975762450684,9.131302499841181e-05
patch_size,0,20,3,0.013028737987994948,0.00018950870662857408
patch_size,0,20,4,0.011044749981301696,3.649803603117027e-05
patch_size,1,40,0,0.010687588992672477,0.00011028385154416202
patch_size,1,40,1,0.046357231375628305,0.002671188335716816
patch_size,1,40,2,0.023499114573085282,0.004413527979222036
patch_size,1,40,3,0.025224746815769885,3.1606721756169325e-05
patch_size,1,40,4,0.06284642916156485,0.0047521793119128354
patch_size,2,80,0,0.015222304328715497,0.0002520300631384603
patch_size,2,80,1,0.09196557640191129,0.008206071342145472
patch_size,2,80,2,0.005003634689918926,1.925105809275547e-05
patch_size,2,80,3,0.0383810968132267,0.0014615476334059476
patch_size,2,80,4,0.07018328522540128,0.004839475684737506
patch_size,3,120,0,0.005779830602720127,0.00014427254144987607
patch_size,3,120,1,0.14985664174672378,0.0051598779994127195
patch_size,3,120,2,0.005471312263742559,8.806488661266899e-05
patch_size,3,120,3,0.02861145828156074,8.15813476387745e-05
patch_size,3,120,4,0.18376706546735325,0.00649178457486849
backbone_structure,0,control,0,0.07576925335536723,0.0034963938148617675
backbone_structure,0,control,1,0.19935861385467304,0.006236947950327447
backbone_structure,0,control,2,0.029863980766856837,0.0005179273419211508
backbone_structure,0,control,3,0.2260093633329399,0.005809684005727559
backbone_structure,0,control,4,0.2780651005208161,0.004989887844626315
backbone_structure,1,2 layer,0,0.011190586975504947,0.0027248144635755502
backbone_structure,1,2 layer,1,0.13256246457935403,0.004696375020666015
backbone_structure,1,2 layer,2,0.005569250572718392,1.0822882019945676e-05
backbone_structure,1,2 layer,3,0.14949391854759517,0.0070630620590339
backbone_structure,1,2 layer,4,0.17243196973082556,0.003590785140944707
backbone_structure,2,1 layer,0,0.07287372030004027,0.008757953406512094
